Nom,Commentaire,Secteur d'activité,Localisation,Nombre de postes,Url postes
Gangstères,"Créée en 2017 par Laura Raymond et Barbara Chambers, Gangstères est une agence conseil indépendante en stratégie digitale et social media.
L’agence conseille de belles marques (Yop, 8.6, Naturalia…) sur des périmètres larges et ambitieux pour parler aux consommateurs là où il sont, sur les réseaux !
Gangstères est l’agence des marques qui osent explorer de nouveaux territoires, casser les codes et assumer toute leur singularité.","Digital, IT / Digital, Publicité",Paris,Candidatures spontanées !,/fr/companies/gangsteres/jobs
LISAA - L'Institut Supérieur des Arts Appliqués,"4icom est une société de conseil et d’ingénierie spécialisée dans la mobilité.
Créée en 2000, 4icom assure la conception, le suivi de développement et la mise  en opération de projets de le domaine de la mobilité et de ses infrastructures.
4icom a une pratique d'excellence en matière de  péage flux libre et de taxes kilométriques (GNSS ou DSRC) pour les poids lourds initiée en 2008 en continuel développement et enrichissement. 
4icom est l'une des sociétés leader et reconnue à l'échelle européenne voire au-delà sur ces sujets. 
4icom intervient également dans le domaine des infrastructures aéroportuaires, des transports publics ou encore des projets telecom.","Ingénieries Spécialisées, Mobilité, Stratégie","Paris, Roma",6 offres,/fr/companies/lisaa/jobs
Reej Consulting,"LittleBigCode est un laboratoire de conseil digital spécialisé dans la création de solutions d’Intelligence Artificielle valorisant la Data et dont la mission est de participer à l’IA-sation de la société et la démocratisation des usages liés à cette technologie.
Nous accompagnons nos clients dans cette révolution de l’IA en :

Définissant avec eux leurs stratégies Data
Mettant en place les architectures Data & Data Plateformes leur permettant de collecter, fiabiliser et organiser leurs données sur le Cloud ou On-premise
Déployant à l'échelle de l'entreprise les produits et solutions d'IA orientés sur l’aide à la décision, l’automatisation de processus et la création de valeur métier
Leur mettant à disposition les solutions LittleBigCode afin d’accélérer ces déploiements tout en leur garantissant une indépendance et une souveraineté technologique
","Big Data, IT / Digital, Intelligence artificielle / Machine Learning","Neuilly-Sur-Seine, Bruxelles",0 offre,/fr/companies/reej-consulting/jobs
BimBamJob,"La commune de Courchevel, reconnue pour son excellence dans l’organisation de grands événements internationaux sportifs et culturels a pour mission principale, la satisfaction des besoins quotidien de sa population.
C'est pourquoi de nombreuses équipes de tous secteurs s'affairent à répondre au mieux aux attentes de ses usagers. Urbanisme, écoles, gestion d'équipements atypiques comme le site de l'altiport sont, entre autres, les thématiques traitées par la Mairie de Courchevel.","Administration publique, Collectivités publiques et territoriales",Courchevel,8 offres,/fr/companies/bimbamjob/jobs
Forest Admin,"L'Institut Supérieur des Arts Appliqués (LISAA) est un établissement d'enseignement supérieur privé reconnu par le Ministère de la Culture. Depuis 1986, LISAA forme les meilleurs talents créatifs du bachelor au mastère dans différentes filières : animation et game, design et architecture d'intérieur, design graphique et mode.
Présent sur 10 campus en France - à Paris, Nantes, Rennes, Strasbourg, Toulouse, Bordeaux et Montpellier - LISAA est aujourd’hui considéré comme une référence en matière de formation en arts appliqués.
La mission de LISAA ? Connecter la créativité de chaque élève à l’avenir professionnel qui lui ressemble.
Partenariats ambitieux, enseignants professionnels, matériel de pointe, solide réseau d’alumni… L’école met tout en œuvre pour préparer les étudiants au monde professionnel. Six mois après la sortie de l’école, 82% des jeunes diplômés LISAA trouvent un emploi dans le secteur qui correspond à leur formation.","Design, Education, Mode","Paris, Bordeaux, Nantes, Rennes, Strasbourg, Toulouse",2 offres,/fr/companies/forest-admin/jobs
Story | Mobsuccess Group,"MeltOne Advisory est une société de conseil en management et en système d’information indépendante et à taille humaine. Leur objectif est d'accompagner leurs clients dans leurs projets de transformation et de les aider à optimiser leurs processus afin de se recentrer sur les tâches à forte valeur ajoutée.
Pourquoi ? Pour leur permettre de jouer un rôle central dans le pilotage de leur entreprise.
Comment ? En fédérant toutes les énergies. En effet, derrière chaque projet, il y a des femmes et des hommes, avec un état d’esprit, des attentes et des besoins qui leur sont propres. Leur force réside dans leur agilité et leur capacité à épouser fidèlement les contours de chaque projet. Ils en rassemblent toutes les parties prenantes autour d’un seul et même objectif : l’optimisation des processus.
Chez MeltOne, ils sont très fiers d'être arrivés 1er au palmarès Best Place to Work 2017 des entreprises – de 50 collaborateurs, et n°3 au palmarès Best Place to Work 2021 pour la catégorie 50-250 collaborateurs ! L'entreprise est convaincue que l’épanouissement de ses collaborateurs contribue à l’enrichissement de l’entreprise et participe aux succès de leurs clients.","IT / Digital, Logiciels, Transformation","Paris, Stamford",3 offres,/fr/companies/story-success/jobs
CLARISYS Informatique,"Les hôpitaux recueillent de multiples données de santé lors de l’hospitalisation d’un patient : comptes rendus médicaux, observations du personnel soignant, résultats d’examens, etc.
À l’échelle de l’hôpital, cela représente une quantité massive de données, qui sont largement sous-exploitées. Sancare propose des outils prédictifs utilisant les dernières avancées en intelligence artificielle pour mettre ces données au service des hôpitaux et de la santé.
Notre premier produit est déjà utilisé par plusieurs dizaines d’établissements de santé. Il permet la détection automatique de diagnostics à partir de documents en texte libre et autres données contenus dans les dossiers patients, visualisables dans une interface web intuitive et ergonomique, et fait gagner du temps aux médecins et à leurs assistants administratifs. Nous développons en parallèle un nouvel outil facilitant la conduite d’études en vie réelle pour évaluer des médicaments et dispositifs médicaux. Vu le fort impact potentiel de ce projet sur la recherche clinique, l'attente de la part de différents acteurs de la santé (notamment, hôpitaux et laboratoires pharmaceutiques) est considérable.","Big Data, Intelligence artificielle / Machine Learning, Santé",Paris,6 offres,/fr/companies/clarisys-informatique-1/jobs
Doctolib,"Doctolib est une entreprise à mission œuvrant pour un monde en meilleure santé avec plus de 2800 employés en France, en Allemagne et en Italie. Nos équipes françaises sont réparties au sein de nos différents bureaux sur tout le territoire : sur nos 2 campus à Paris et Nantes et dans nos bureaux régionaux (Niort, Lille, Rennes, Bordeaux, Montpellier, Lyon, Strasbourg, etc.). Depuis 2013, Doctolib améliore le quotidien de plus de 340 000 professionnels de santé grâce à des technologies et des services innovants. Doctolib rend également l’accès aux soins plus rapide et plus égalitaire : plus de 70 millions de personnes prennent rendez-vous et gèrent leur santé via Doctolib, en toute sécurité.","Application mobile, Logiciels, SaaS / Cloud Services, Santé",Levallois-Perret,166 offres,/fr/companies/doctolib/jobs
Casavo,"1er assureur des professionnels de santé, la MACSF est restée fidèle à ses valeurs mutualistes qui font sa force et sa différence. Sans actionnaires ni capital à rémunérer, le groupe est indépendant et protège plus d’un million de sociétaires que ce soit pour leur vie professionnelle ou leur vie privée. En forte croissance, ils recrutent de nouveaux talents.","Assurance, Finance, Santé",La Défense,47 offres,/fr/companies/casavo/jobs
OSE Engineering,"Divalto conçoit des solutions de gestion dans le cloud expertes, simples, puissantes, et accessibles offrant une expérience utilisateur unique et intégrant les usages d’aujourd’hui et de demain. Elles donnent la liberté de travailler où, quand et comme on veut ! Divalto, l’instigateur du temps présent.
Divalto est une longue histoire dans la très courte échelle de temps du monde informatique, mais c’est avant tout un état d’esprit intangible et une forte détermination. Depuis sa création en 1982, Divalto n’a qu’un seul et unique Leitmotiv : permettre aux PME et ETI de relever les défis de la digitalisation et d’augmenter leurs performances grâce à des logiciels innovants, agiles et pérennes.
Les vicissitudes du marché n’ont en rien entaché sa volonté. Bien au contraire ! Les ambitions de croissance de Divalto mènent l’entreprise à être toujours au plus proche de ses clients. Le dialogue avec ses utilisateurs est permanent. ""Chez Divalto, chaque client est unique et précieux.""
Divalto investit massivement dans ses savoir-faire. Les équipes de l’éditeur se réinventent en permanence, développe sans cesse de nouvelles compétences. pour toujours plus de performance et de simplicité.
Cette démarche est capitale et fédère l’ensemble des collaborateurs Divalto qui partagent une même vision basée sur l’esprit d’entreprendre, le gène de l’innovation, et le sens de l’engagement.","IT / Digital, Logiciels, SaaS / Cloud Services","Brignais, Bègles, Entzheim, Francheville, Montréal, Nantes, Paris, Scionzier",0 offre,/fr/companies/ose-engineering/jobs
Tiime,"6TM accompagne la transformation numérique des PME/ETI de manière responsable et durable par une approche conseil et une expertise technique au service de leur performance.
6TM travaille sur 3 grandes thématiques :

Développer le business de ses clients avec la mise en place de solutions e-commerce, d’outils d’aide à la vente mais aussi à travers du conseil en transformation digitale, etc.
Optimiser la gestion et l'organisation interne/externe de nos clients en développant des logiciels sur mesure (ERP) 
Prototyper des concepts et accompagner les clients dans la création de nouvelles actualités.

6TM ce sont aussi les femmes et les hommes qui la composent. Nous te proposons de les découvrir ! 😊","IT / Digital, Stratégie","Angers, Nantes",20 offres,/fr/companies/tiime/jobs
The Adecco Group,"Casavo est la PropTech européenne qui simplifie le marché immobilier à l'aide de la technologie. Grâce à sa plateforme nouvelle génération, l’entreprise met chaque vendeur en relation avec l’acquéreur le plus pertinent, tout en lui donnant la possibilité de souscrire une offre de Vente Garantie qui assure sa vente. 
Cette offre est aussi un atout pour ses conseillers immobiliers indépendants : elle leur permet de proposer un service novateur et différenciant dans leur prospection quotidienne. ",Immobilier particulier,Paris,339 offres,/fr/companies/the-adecco-group/jobs
